Age,Species,Water_Temperature,Feeding_Behavior,Coloration,Swimming_Behavior,Disease_Status
4.9,Catfish,30.5,Reduced,Faded,Erratic,Diseased
4.0,Trout,28.4,Reduced,Faded,Erratic,Diseased
2.8,Tilapia,29.6,Reduced,Faded,Erratic,Diseased
3.9,Trout,28.2,Reduced,Faded,Erratic,Diseased
4.8,Goldfish,24.3,Normal,Bright,Normal,Healthy
3.2,Salmon,31.9,Reduced,Faded,Erratic,Diseased
4.9,Goldfish,29.2,Reduced,Faded,Erratic,Diseased
1.0,Trout,31.6,Reduced,Faded,Erratic,Diseased
3.4,Goldfish,28.5,Reduced,Faded,Erratic,Diseased
2.8,Trout,23.1,Normal,Bright,Normal,Healthy
2.4,Trout,31.4,Reduced,Faded,Erratic,Diseased
4.0,Trout,22.1,Normal,Bright,Normal,Healthy
4.6,Goldfish,31.3,Reduced,Faded,Erratic,Diseased
0.9,Salmon,28.2,Reduced,Faded,Erratic,Diseased
4.7,Salmon,31.1,Reduced,Faded,Erratic,Diseased
4.0,Goldfish,28.5,Reduced,Faded,Erratic,Diseased
4.5,Catfish,25.7,Normal,Bright,Normal,Healthy
1.0,Goldfish,30.1,Reduced,Faded,Erratic,Diseased
2.9,Salmon,31.2,Reduced,Faded,Erratic,Diseased
1.6,Trout,24.6,Normal,Bright,Normal,Healthy
4.6,Catfish,31.6,Reduced,Faded,Erratic,Diseased
3.4,Salmon,23.5,Normal,Bright,Normal,Healthy
0.6,Trout,20.1,Normal,Bright,Normal,Healthy
1.1,Tilapia,28.5,Reduced,Faded,Erratic,Diseased
3.0,Trout,22.3,Normal,Bright,Normal,Healthy
3.8,Catfish,23.3,Normal,Bright,Normal,Healthy
3.4,Tilapia,25.4,Normal,Bright,Normal,Healthy
1.9,Goldfish,29.0,Reduced,Faded,Erratic,Diseased
3.0,Salmon,29.2,Reduced,Faded,Erratic,Diseased
2.9,Trout,31.7,Reduced,Faded,Erratic,Diseased
3.4,Goldfish,23.6,Normal,Bright,Normal,Healthy
4.9,Tilapia,22.5,Normal,Bright,Normal,Healthy
2.9,Trout,29.3,Reduced,Faded,Erratic,Diseased
4.9,Catfish,24.2,Normal,Bright,Normal,Healthy
1.0,Trout,23.4,Normal,Bright,Normal,Healthy
4.5,Tilapia,21.6,Normal,Bright,Normal,Healthy
2.0,Tilapia,30.0,Reduced,Faded,Erratic,Diseased
2.5,Tilapia,28.7,Reduced,Faded,Erratic,Diseased
2.4,Goldfish,28.1,Reduced,Faded,Erratic,Diseased
2.0,Salmon,24.3,Normal,Bright,Normal,Healthy
2.4,Tilapia,23.4,Normal,Bright,Normal,Healthy
2.9,Trout,23.8,Normal,Bright,Normal,Healthy
0.6,Tilapia,25.2,Normal,Bright,Normal,Healthy
